Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Total;Feed flow rate (ton/hour);Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaO Addition in process ;Water added into system from redmud washing into conditioning   ;Alumunium in bauxite bauxite feed ;Alumunium in Recycled Spent Liquor  ;Alumina Hydrate Seed
54.32%;5.71%;17.87%;0.69%;1.32%;0.74%;0.27%;0.59%;0.03%;18.46%;100.00%;150;6.21545591;4.556114916;90.16773395;34.49778693;7.23798874;607.3905858
59.05%;4.84%;13.09%;2.83%;0.71%;0.28%;0.10%;0.09%;0.13%;18.88%;100.00%;150;6.136215891;4.361729341;74.44982546;37.5029244;12.08583693;810.4816435
58.08%;2.79%;18.22%;2.41%;1.02%;0.45%;0.12%;0.42%;0.06%;16.43%;100.00%;150;6.054458082;1.774045869;71.60258299;36.8832095;10.16112666;955.8060357
53.78%;3.49%;18.09%;0.94%;1.23%;0.57%;0.21%;0.38%;0.13%;21.17%;100.00%;150;5.498652024;2.27775108;80.98873488;34.15586208;9.799892383;604.0178714
53.85%;3.91%;23.87%;1.29%;1.37%;0.28%;0.06%;0.57%;0.05%;14.75%;100.00%;150;5.696570117;2.561400366;97.37017929;34.19882555;9.727828629;747.5805846
55.93%;5.64%;23.06%;2.26%;0.53%;0.45%;0.18%;0.40%;0.08%;11.47%;100.00%;150;6.370428741;5.437976161;105.8826559;35.52187323;12.51336542;779.5361203
50.77%;7.32%;18.48%;2.72%;0.57%;0.89%;0.08%;0.11%;0.07%;19.00%;100.00%;150;6.731021337;7.191446801;107.2197086;32.24191341;10.70359985;839.1643295
57.28%;4.47%;22.61%;1.09%;1.27%;0.43%;0.05%;0.21%;0.04%;12.54%;100.00%;150;6.345033473;3.283168844;91.39458217;36.3756425;8.773712654;702.4328504
52.73%;5.56%;19.94%;1.36%;1.45%;0.86%;0.27%;0.31%;0.06%;17.47%;100.00%;150;6.176456047;4.239928592;94.94674115;33.48431848;8.214823693;786.9113196
56.49%;3.04%;17.05%;1.89%;1.09%;0.45%;0.04%;0.13%;0.06%;19.76%;100.00%;150;6.050217407;1.971052659;69.37929052;35.87658492;9.369078897;954.7452334
55.53%;2.45%;17.64%;1.71%;0.93%;0.28%;0.19%;0.35%;0.14%;20.78%;100.00%;150;5.677621906;1.518086135;70.43383886;35.26643554;8.682928977;695.8087255
51.06%;6.08%;22.76%;1.66%;1.48%;0.87%;0.06%;0.37%;0.10%;15.56%;100.00%;150;6.351253401;4.765084196;108.1404118;32.42872311;8.667621092;594.1903407
61.58%;5.61%;16.91%;0.90%;0.95%;0.47%;0.15%;0.35%;0.01%;13.07%;100.00%;150;6.52344899;4.898341816;84.81408298;39.10501128;9.527269545;959.7907088
60.69%;6.85%;20.78%;0.56%;0.89%;0.33%;0.03%;0.28%;0.08%;9.52%;100.00%;150;6.682169335;6.301759499;108.5073565;38.54535439;8.893073646;734.5302022
55.98%;7.75%;21.77%;2.40%;1.10%;0.57%;0.09%;0.12%;0.14%;10.07%;100.00%;150;6.160399987;7.02322779;118.996301;35.55063415;8.329816488;868.8037455
56.21%;1.71%;12.67%;2.23%;0.52%;0.36%;0.08%;0.46%;0.11%;25.66%;100.00%;150;6.066093409;1.212902325;51.25107053;35.69937481;10.23773751;751.5368585
56.25%;1.94%;20.94%;2.88%;1.44%;0.26%;0.13%;0.28%;0.14%;15.74%;100.00%;150;6.061395107;0.364585472;72.33411665;35.72303689;12.53935264;762.7855593
59.98%;6.23%;14.65%;1.04%;0.49%;0.89%;0.14%;0.06%;0.11%;16.40%;100.00%;150;4.599758181;6.121774859;86.28870024;38.08851078;10.88546862;897.4962563
53.44%;5.12%;16.02%;1.84%;0.71%;0.67%;0.20%;0.14%;0.02%;21.83%;100.00%;150;6.214018427;4.651877335;82.36706853;33.94107124;8.355606961;803.9111738
53.77%;1.51%;15.92%;2.98%;1.30%;0.57%;0.07%;0.31%;0.14%;23.43%;100.00%;150;5.531879084;0.064822559;58.89797496;34.14912798;12.00746958;675.2413499
54.82%;5.14%;14.02%;0.85%;1.08%;0.82%;0.13%;0.19%;0.04%;22.90%;100.00%;150;5.861283699;4.230842982;79.65158751;34.81249528;7.525305332;596.5079935
58.24%;5.52%;18.30%;0.53%;0.62%;0.61%;0.17%;0.43%;0.06%;15.54%;100.00%;150;6.066859206;5.197748593;88.72316092;36.98494775;10.31362519;844.2271996
59.98%;7.02%;23.09%;0.75%;0.69%;0.79%;0.08%;0.31%;0.06%;7.22%;100.00%;150;5.02250547;6.725325415;113.3570634;38.09148226;11.27878578;884.9884436
61.75%;3.15%;14.05%;0.48%;0.34%;0.74%;0.04%;0.29%;0.11%;19.04%;100.00%;150;6.262849052;2.979034051;61.66993592;39.21735602;13.22823826;795.8817019
54.56%;2.74%;12.48%;2.33%;0.27%;0.55%;0.08%;0.31%;0.02%;26.67%;100.00%;150;5.985203197;2.629441584;59.49055772;34.64987761;10.28489567;795.678195
50.85%;7.89%;19.04%;2.93%;0.30%;0.72%;0.12%;0.52%;0.09%;17.55%;100.00%;150;6.662859362;8.133077615;114.6036909;32.29559314;8.482133711;627.8345817
49.36%;7.73%;18.79%;2.11%;1.33%;0.77%;0.09%;0.59%;0.08%;19.14%;100.00%;150;6.648695989;6.726473877;111.2373757;31.34424192;6.677182909;568.0151003
58.14%;1.55%;18.04%;2.91%;0.91%;0.65%;0.10%;0.46%;0.06%;17.19%;100.00%;150;5.983940212;0.576650545;64.65885221;36.92067667;10.94523296;968.8314993
52.99%;7.96%;21.46%;2.67%;0.93%;0.66%;0.28%;0.24%;0.03%;12.78%;100.00%;150;6.242152138;7.447526199;119.3856094;33.65060792;7.962600836;769.8698248
59.66%;5.68%;17.40%;1.04%;1.24%;0.82%;0.06%;0.16%;0.12%;13.82%;100.00%;150;6.617963083;4.624971121;89.17194029;37.89095075;12.18434431;983.1217198
62.06%;6.12%;16.49%;1.56%;0.46%;0.43%;0.04%;0.15%;0.08%;12.61%;100.00%;150;6.75000072;6.03335024;89.94559294;39.41296282;12.89816954;959.448208
57.87%;5.12%;22.84%;1.08%;1.11%;0.31%;0.12%;0.30%;0.02%;11.22%;100.00%;150;6.320503481;4.179935006;96.58913804;36.75355067;9.682361661;733.03342
54.82%;4.48%;15.43%;2.95%;1.00%;0.82%;0.14%;0.31%;0.03%;20.01%;100.00%;150;5.948716045;3.617095718;80.99609546;34.81453178;12.23591081;858.232505
55.98%;3.10%;20.61%;2.65%;0.95%;0.56%;0.01%;0.08%;0.09%;15.96%;100.00%;150;6.183845629;2.197965064;81.45289187;35.55052059;9.929293524;665.1481412
58.30%;2.35%;21.64%;2.51%;0.30%;0.56%;0.20%;0.42%;0.02%;13.71%;100.00%;150;5.771268874;2.171462779;82.314366;37.02684754;12.23410838;681.6330564
49.88%;6.56%;13.83%;2.90%;0.81%;0.29%;0.08%;0.11%;0.13%;25.40%;100.00%;150;6.326892368;6.083495294;92.73071819;31.67870021;10.0458262;766.7300515
51.00%;1.66%;22.71%;0.34%;1.22%;0.85%;0.06%;0.21%;0.05%;21.91%;100.00%;150;5.481189315;0.324966716;72.24709403;32.38941249;9.30754615;655.6413975
51.58%;6.50%;23.10%;1.66%;0.87%;0.67%;0.07%;0.60%;0.11%;14.85%;100.00%;150;6.268764592;5.960987378;110.8732041;32.7543862;8.340517182;854.6588905
51.01%;7.67%;12.27%;1.02%;0.58%;0.57%;0.03%;0.37%;0.06%;26.43%;100.00%;150;6.556430767;7.55673529;93.580599;32.3953176;8.99210265;841.2333965
60.05%;5.56%;12.37%;1.69%;1.00%;0.68%;0.29%;0.14%;0.12%;18.11%;100.00%;150;3.976588507;4.787798637;77.60546358;38.13669043;11.81881293;801.0065947
53.69%;5.31%;14.92%;0.45%;0.77%;0.35%;0.11%;0.36%;0.11%;23.93%;100.00%;150;5.825735175;4.78396913;78.88563095;34.09844623;9.097894224;815.8389381
49.70%;1.61%;13.02%;1.48%;0.71%;0.55%;0.25%;0.20%;0.14%;32.34%;100.00%;150;5.813693261;0.873843505;48.26601553;31.56467479;10.77090154;856.6984955
56.83%;2.14%;23.50%;0.95%;0.44%;0.84%;0.04%;0.14%;0.02%;15.12%;100.00%;150;5.677695291;1.776123074;80.10051615;36.08948688;8.964077007;894.4328215
60.24%;5.56%;17.26%;2.35%;0.61%;0.81%;0.01%;0.34%;0.08%;12.74%;100.00%;150;6.729011318;5.251526709;96.83885759;38.25432705;10.31599633;898.2080112
61.27%;7.94%;17.53%;2.26%;0.46%;0.41%;0.18%;0.52%;0.06%;9.38%;100.00%;150;6.410209851;7.990011489;108.1761374;38.91273936;8.449319794;907.4860477
52.07%;2.27%;17.70%;2.63%;0.41%;0.70%;0.08%;0.24%;0.05%;23.85%;100.00%;150;5.596485194;1.961890268;72.93231644;33.07105534;7.325955027;615.892652
61.12%;2.90%;24.00%;1.53%;0.28%;0.41%;0.19%;0.18%;0.05%;9.34%;100.00%;150;6.006705945;2.788156354;84.26156523;38.81459338;11.81788495;984.3139915
59.26%;4.04%;24.24%;0.68%;1.00%;0.90%;0.29%;0.11%;0.14%;9.34%;100.00%;150;6.078999977;3.148640852;93.62214804;37.63624363;10.03444688;761.165536
51.34%;4.99%;12.32%;2.20%;0.76%;0.57%;0.13%;0.10%;0.13%;27.45%;100.00%;150;6.149595399;4.460305535;76.40847368;32.60580452;6.662027564;640.2991214
51.88%;1.75%;19.18%;1.38%;0.65%;0.30%;0.17%;0.27%;0.12%;24.31%;100.00%;150;5.709295642;1.101361999;64.85595234;32.94523863;8.127102819;645.2954758
52.97%;2.41%;13.55%;1.55%;1.14%;0.60%;0.08%;0.41%;0.13%;27.17%;100.00%;150;5.755194395;1.217686705;57.132406;33.63755232;12.44324159;836.4211812
53.93%;2.19%;19.54%;1.32%;1.45%;0.37%;0.26%;0.18%;0.10%;20.67%;100.00%;150;5.864024048;0.611316853;72.61513241;34.24636926;8.348358908;794.9463658
57.72%;4.63%;21.91%;1.04%;1.26%;0.53%;0.24%;0.06%;0.07%;12.56%;100.00%;150;5.775004395;3.476300995;90.70709384;36.65412905;9.279211424;735.2566399
54.76%;1.90%;12.71%;2.13%;1.08%;0.28%;0.04%;0.48%;0.13%;26.48%;100.00%;150;5.661555382;0.748174859;52.1963671;34.77749235;10.46682375;644.4725551
60.17%;4.18%;16.48%;0.68%;0.35%;0.69%;0.17%;0.56%;0.13%;16.57%;100.00%;150;6.086347968;4.07998123;75.26655054;38.21449784;8.279349991;842.9767325
49.99%;1.74%;12.30%;2.57%;1.16%;0.90%;0.24%;0.14%;0.03%;30.93%;100.00%;150;5.176270686;0.48230002;52.44060351;31.74442674;8.615356452;715.0662412
51.43%;4.94%;12.24%;2.51%;1.22%;0.42%;0.15%;0.44%;0.08%;26.57%;100.00%;150;5.991073152;3.850171112;74.0627848;32.66355348;9.531003296;711.1075028
57.85%;3.50%;13.23%;2.26%;0.89%;0.27%;0.03%;0.37%;0.12%;21.47%;100.00%;150;4.573468784;2.69499207;66.9664651;36.74011655;11.71128409;793.4861986
58.26%;6.58%;23.23%;0.88%;0.87%;0.30%;0.28%;0.36%;0.04%;9.22%;100.00%;150;5.572941145;6.04249793;108.539005;36.99918058;9.999672553;718.4086412
55.18%;1.68%;15.13%;0.57%;1.04%;0.66%;0.10%;0.42%;0.13%;25.09%;100.00%;150;5.34812896;0.567260255;54.5277872;35.0404477;7.884827915;757.0198813
59.75%;3.70%;16.09%;0.95%;0.26%;0.55%;0.22%;0.07%;0.12%;18.28%;100.00%;150;5.814500158;3.667747417;77.00069957;37.94291194;8.679650894;716.1197823
56.74%;2.93%;22.91%;1.79%;0.69%;0.29%;0.26%;0.10%;0.04%;14.27%;100.00%;150;5.591553057;2.323578982;82.78228097;36.03297194;13.37300049;708.5126797
61.46%;6.01%;22.78%;2.24%;0.66%;0.31%;0.24%;0.45%;0.14%;5.71%;100.00%;150;6.263592605;5.672530633;107.844044;39.03455877;11.92222708;745.381475
58.20%;8.00%;24.62%;1.62%;0.61%;0.75%;0.03%;0.28%;0.03%;5.88%;100.00%;150;6.891301992;7.877726826;125.2346379;36.95823848;11.18262782;825.872397
61.13%;1.66%;22.56%;1.90%;1.46%;0.33%;0.18%;0.19%;0.03%;10.56%;100.00%;150;0.943083157;0.036164653;75.75099117;38.8213994;11.99056798;969.9465104
52.48%;1.96%;24.58%;1.96%;0.63%;0.41%;0.20%;0.19%;0.11%;17.47%;100.00%;150;5.796082299;1.347737855;79.82705551;33.32895349;10.43934898;776.2188137
59.75%;6.71%;22.22%;1.65%;0.87%;0.59%;0.08%;0.38%;0.01%;7.74%;100.00%;150;6.73079486;6.180143767;109.660347;37.94323748;12.42003706;729.9377045
49.71%;4.43%;14.76%;1.57%;1.14%;0.81%;0.05%;0.36%;0.01%;27.14%;100.00%;150;5.802973421;3.402284052;76.99282888;31.57189719;7.175139505;608.2235692
62.28%;5.73%;22.58%;1.49%;0.70%;0.66%;0.18%;0.28%;0.14%;5.97%;100.00%;150;5.404528469;5.331505702;110.0716489;39.5491589;8.815889963;774.9888051
58.61%;4.51%;14.32%;1.16%;1.07%;0.43%;0.26%;0.20%;0.04%;19.40%;100.00%;150;6.166547473;3.565662928;72.10082813;37.21953207;11.57936317;759.0334496
53.78%;4.49%;14.20%;2.41%;1.38%;0.31%;0.17%;0.57%;0.09%;22.59%;100.00%;150;6.28613059;3.179947738;76.1731141;34.15501038;10.73327016;710.6779406
57.37%;7.75%;21.54%;0.98%;1.27%;0.71%;0.21%;0.15%;0.12%;9.90%;100.00%;150;6.464619886;6.816535016;114.2002575;36.43336874;7.483941909;863.2498789
49.09%;6.30%;15.40%;1.56%;1.10%;0.90%;0.02%;0.54%;0.07%;25.02%;100.00%;150;6.257917921;5.465287109;90.63391477;31.17873982;8.629235024;793.1874379
52.11%;6.86%;20.89%;1.76%;0.64%;0.85%;0.21%;0.07%;0.09%;16.53%;100.00%;150;6.326530065;6.617005651;108.5456038;33.09617478;7.832414209;637.6102594
61.97%;2.98%;22.46%;1.81%;1.48%;0.28%;0.18%;0.41%;0.09%;8.34%;100.00%;150;2.079883428;1.42932355;82.56659079;39.35235973;9.219495493;944.0877036
54.77%;5.95%;19.39%;0.94%;1.35%;0.85%;0.12%;0.53%;0.05%;16.07%;100.00%;150;6.042951135;4.777847999;97.60658721;34.7808348;8.102975754;682.8338527
49.72%;6.43%;15.11%;2.79%;1.09%;0.55%;0.23%;0.54%;0.09%;23.45%;100.00%;150;5.764184341;5.61326341;96.11909022;31.57466048;6.474865233;652.7052937
50.47%;7.43%;21.24%;0.50%;0.64%;0.57%;0.19%;0.40%;0.15%;18.41%;100.00%;150;6.09870648;7.225809454;113.3377748;32.05094743;7.212403433;728.0362444
57.41%;3.87%;17.30%;0.83%;0.48%;0.61%;0.12%;0.13%;0.02%;19.22%;100.00%;150;5.99787229;3.585488034;78.27259345;36.46088429;9.023326686;708.4313197
52.48%;7.06%;18.67%;1.76%;0.38%;0.52%;0.25%;0.10%;0.07%;18.73%;100.00%;150;6.188657656;7.140030349;103.3032883;33.33030486;10.75275737;825.8547403
57.49%;5.64%;18.13%;0.60%;1.33%;0.91%;0.12%;0.57%;0.03%;15.18%;100.00%;150;5.975072065;4.4772025;90.05432036;36.51281898;9.250421262;657.1019435
62.60%;3.54%;12.04%;0.87%;0.71%;0.54%;0.28%;0.52%;0.10%;18.80%;100.00%;150;5.920816045;2.952864824;63.13131797;39.75795;11.78546125;840.2628506
58.96%;3.69%;13.12%;2.72%;0.84%;0.35%;0.17%;0.57%;0.04%;19.55%;100.00%;150;4.892132971;2.957848922;69.07765011;37.44091695;11.47640894;756.9783223
49.06%;3.35%;20.22%;1.52%;0.31%;0.91%;0.08%;0.49%;0.14%;23.92%;100.00%;150;6.261531611;3.22923431;80.49370074;31.15708018;6.934003918;603.3623714
51.99%;3.14%;22.69%;2.98%;0.29%;0.73%;0.28%;0.29%;0.11%;17.51%;100.00%;150;5.577654805;3.032530564;89.99526418;33.01701979;10.72052471;850.0477945
53.92%;7.61%;16.17%;0.74%;0.63%;0.76%;0.02%;0.43%;0.15%;19.56%;100.00%;150;6.27479744;7.433933927;100.1006549;34.24578254;10.01235686;933.4071381
54.15%;3.51%;22.89%;0.60%;1.28%;0.58%;0.28%;0.12%;0.02%;16.57%;100.00%;150;5.362301578;2.250939621;83.93915131;34.38691469;12.69246362;876.9523082
52.01%;7.12%;21.83%;0.25%;0.49%;0.76%;0.24%;0.57%;0.08%;16.65%;100.00%;150;6.006436826;7.068051194;110.4851151;33.03227088;7.096999888;606.9262449
61.99%;7.57%;22.37%;1.62%;1.15%;0.60%;0.11%;0.09%;0.09%;4.41%;100.00%;150;2.579281203;6.771266852;115.4468995;39.36854957;7.920852169;733.5207126
51.30%;4.98%;24.20%;1.95%;1.00%;0.61%;0.09%;0.51%;0.08%;15.28%;100.00%;150;6.171113202;4.160366593;102.4163115;32.58015136;8.463831992;855.9706515
62.26%;5.76%;12.65%;0.92%;1.15%;0.62%;0.29%;0.54%;0.11%;15.71%;100.00%;150;6.191083756;4.816774289;78.45711109;39.53705343;8.807010117;819.2327459
56.82%;1.90%;24.73%;1.30%;0.74%;0.68%;0.08%;0.51%;0.09%;13.14%;100.00%;150;6.011423915;1.160837511;80.9860427;36.08626557;11.12824082;982.2196855
60.50%;7.80%;12.56%;0.82%;1.19%;0.56%;0.30%;0.24%;0.11%;15.93%;100.00%;150;6.176522972;6.973219349;98.11478677;38.42354634;9.31806939;847.8134044
52.08%;2.59%;13.91%;0.74%;1.33%;0.53%;0.05%;0.17%;0.14%;28.48%;100.00%;150;5.759528557;1.193774179;56.22838254;33.07229315;7.276695211;774.1680265
57.27%;4.41%;12.02%;2.74%;1.11%;0.45%;0.08%;0.58%;0.06%;21.28%;100.00%;150;5.915271628;3.411913061;70.73074719;36.37261802;9.997924946;660.1478094
53.94%;4.25%;14.12%;1.69%;0.73%;0.85%;0.09%;0.51%;0.11%;23.70%;100.00%;150;5.853665561;3.698968536;73.03049407;34.25424274;7.575414163;855.638028
55.75%;2.12%;23.00%;2.35%;1.12%;0.44%;0.02%;0.11%;0.15%;14.95%;100.00%;150;5.895726072;0.934789107;78.11491601;35.40461135;12.41058287;805.8218332
59.06%;6.28%;21.77%;2.84%;0.69%;0.34%;0.29%;0.27%;0.14%;8.33%;100.00%;150;6.003667145;5.932515098;112.4499925;37.50648639;12.66979376;794.6824962
58.91%;7.75%;16.72%;1.91%;1.18%;0.37%;0.29%;0.15%;0.15%;12.57%;100.00%;150;6.12166275;6.930976522;109.6731627;37.40962743;8.780816728;865.5868163
49.78%;1.98%;17.63%;1.76%;0.65%;0.65%;0.06%;0.43%;0.02%;27.03%;100.00%;150;5.999980527;1.355584742;69.64123535;31.61269924;7.481428441;702.0349756
56.17%;1.51%;20.22%;1.30%;0.76%;0.89%;0.05%;0.09%;0.15%;18.87%;100.00%;150;5.578661243;0.716615163;68.84052333;35.67327876;10.74654367;859.8275881
59.53%;4.52%;19.47%;2.83%;0.83%;0.91%;0.09%;0.18%;0.10%;11.55%;100.00%;150;5.741406335;3.8734702;92.30261799;37.80353997;10.34214697;942.248754
55.58%;2.67%;21.02%;0.69%;1.41%;0.63%;0.16%;0.57%;0.14%;17.13%;100.00%;150;5.446404616;1.182551532;76.18419591;35.29823608;12.02769419;811.2136211
59.73%;2.91%;20.88%;1.00%;0.52%;0.36%;0.05%;0.12%;0.02%;14.40%;100.00%;150;6.289504662;2.50026567;75.46164938;37.93394072;8.416197262;832.1795604
49.43%;6.92%;18.12%;1.23%;0.87%;0.34%;0.23%;0.17%;0.02%;22.66%;100.00%;150;6.021374023;6.410060068;98.63046427;31.39346442;7.794847098;775.6254893
60.23%;4.16%;24.40%;2.06%;0.54%;0.52%;0.13%;0.16%;0.15%;7.66%;100.00%;150;4.359039274;3.836136937;96.08015456;38.24833488;12.76758277;1066.166499
53.44%;3.35%;24.27%;0.86%;1.25%;0.44%;0.27%;0.46%;0.04%;15.61%;100.00%;150;5.702249023;2.103865102;87.16318396;33.94128322;10.3578589;882.2673752
59.15%;5.60%;12.89%;2.26%;0.88%;0.82%;0.02%;0.23%;0.10%;18.06%;100.00%;150;6.730902331;4.970225605;78.75241743;37.56751723;9.888993226;856.6772357
51.41%;5.98%;19.41%;1.82%;1.29%;0.72%;0.24%;0.26%;0.06%;18.82%;100.00%;150;5.891783033;4.889564964;98.37870558;32.65005122;10.47423778;866.706513
52.38%;7.70%;15.14%;1.74%;1.29%;0.46%;0.30%;0.07%;0.06%;20.88%;100.00%;150;6.178206225;6.729114896;98.4670506;33.26227874;10.19390004;769.7750681
55.36%;2.54%;24.43%;2.36%;1.41%;0.32%;0.08%;0.40%;0.04%;13.06%;100.00%;150;6.07574427;1.04611052;84.98342095;35.15777771;9.003641383;646.8191465
60.37%;2.64%;18.69%;2.03%;0.85%;0.39%;0.17%;0.27%;0.13%;14.45%;100.00%;150;3.465737818;1.817958505;73.92907078;38.34082557;11.97476887;754.4215018
57.21%;2.26%;22.13%;2.91%;0.32%;0.41%;0.01%;0.45%;0.11%;14.18%;100.00%;150;5.903814655;2.041453904;79.66175589;36.3303132;11.2435117;675.69947
60.66%;3.48%;15.99%;1.58%;0.37%;0.77%;0.11%;0.13%;0.14%;16.77%;100.00%;150;4.066150545;3.307171021;70.47497315;38.52186265;11.63578971;972.7286682
53.91%;7.34%;24.49%;1.89%;0.75%;0.45%;0.12%;0.47%;0.14%;10.44%;100.00%;150;6.216226897;6.998541523;120.407768;34.23739804;7.494261319;703.0432528
49.68%;3.38%;14.72%;2.89%;1.33%;0.68%;0.03%;0.57%;0.08%;26.65%;100.00%;150;6.300814895;2.044752466;70.33680055;31.54952969;11.69715981;733.1523987
62.14%;5.53%;13.13%;0.48%;0.36%;0.60%;0.18%;0.20%;0.12%;17.26%;100.00%;150;2.029147106;5.520999077;75.55621419;39.46044975;9.350662738;783.2968395
52.23%;1.52%;12.44%;1.16%;1.45%;0.54%;0.05%;0.13%;0.07%;30.41%;100.00%;150;5.768525529;-0.104666213;48.5250152;33.16706639;11.5211597;682.3911303
52.40%;3.38%;13.06%;2.58%;0.65%;0.28%;0.06%;0.52%;0.11%;26.97%;100.00%;150;6.319827104;2.864378126;64.59326417;33.27699609;8.714159462;716.963425
50.34%;4.66%;13.40%;1.08%;0.53%;0.83%;0.26%;0.32%;0.07%;28.51%;100.00%;150;5.551138873;4.371885411;71.99269916;31.96712135;11.2244401;906.7810746
54.73%;2.52%;13.62%;1.70%;0.99%;0.26%;0.18%;0.21%;0.01%;25.76%;100.00%;150;5.5893894;1.52361649;57.4179497;34.76007228;9.812764437;878.997016
55.70%;4.21%;22.69%;1.31%;0.31%;0.89%;0.22%;0.25%;0.06%;14.37%;100.00%;150;6.165985311;4.160088874;92.52599857;35.37497602;9.082255262;857.6714898
57.84%;3.65%;22.80%;1.56%;0.63%;0.90%;0.07%;0.43%;0.12%;12.00%;100.00%;150;6.030130967;3.175480493;88.82764438;36.73510477;11.83949566;908.6699415
59.58%;7.08%;17.59%;1.66%;0.95%;0.56%;0.25%;0.06%;0.05%;12.23%;100.00%;150;6.554011785;6.478849701;103.8030184;37.83537457;7.432897599;923.837336
51.76%;5.64%;20.63%;1.58%;0.89%;0.52%;0.15%;0.59%;0.09%;18.17%;100.00%;150;6.489436207;4.999539835;103.5840842;32.86974784;10.37326172;714.1144283
56.18%;3.05%;13.15%;2.72%;0.35%;0.69%;0.23%;0.23%;0.10%;23.32%;100.00%;150;5.592657431;2.86173425;63.578908;35.67718522;11.01074449;838.2042843
59.99%;6.19%;19.97%;2.37%;1.49%;0.71%;0.08%;0.41%;0.06%;8.74%;100.00%;150;6.15219027;4.872964914;108.0221983;38.09540765;11.71682274;733.232474
55.60%;5.27%;14.10%;0.62%;1.17%;0.45%;0.23%;0.32%;0.10%;22.15%;100.00%;150;6.177380961;4.260417372;75.98023691;35.30982675;7.454934705;723.1010087
49.18%;4.24%;13.49%;0.85%;0.93%;0.31%;0.17%;0.48%;0.07%;30.29%;100.00%;150;5.939605014;3.439146619;67.17699291;31.23243848;7.83633985;603.6378779
58.21%;7.94%;21.91%;1.83%;0.80%;0.83%;0.22%;0.20%;0.01%;8.05%;100.00%;150;6.330474444;7.583184483;118.9913719;36.9693522;8.545952207;710.3133379
52.28%;3.85%;14.89%;2.59%;0.91%;0.41%;0.17%;0.15%;0.10%;24.63%;100.00%;150;6.063454147;3.05013858;73.87152062;33.20326548;7.474096109;817.4900119
60.57%;4.08%;19.20%;2.77%;0.28%;0.30%;0.02%;0.20%;0.13%;12.45%;100.00%;150;3.900855635;4.06486475;84.25798912;38.46936773;12.41264503;886.6679798
57.19%;6.87%;12.39%;1.83%;1.09%;0.68%;0.18%;0.05%;0.04%;19.67%;100.00%;150;6.439538435;6.092342186;86.90174729;36.32105051;8.620415078;900.9362229
50.83%;4.92%;22.29%;0.47%;1.07%;0.61%;0.07%;0.39%;0.12%;19.22%;100.00%;150;6.012887174;4.01058673;94.18590379;32.28365801;9.225044242;744.1112925
52.91%;7.08%;16.47%;0.68%;0.36%;0.67%;0.21%;0.23%;0.03%;21.36%;100.00%;150;6.348102902;7.186014058;95.42103194;33.602239;9.685711739;692.0569148
49.64%;2.41%;20.12%;1.09%;0.95%;0.81%;0.02%;0.46%;0.06%;24.43%;100.00%;150;6.137749266;1.455747834;71.85614589;31.52462981;8.201274949;645.7262684
51.21%;5.54%;19.84%;1.55%;1.02%;0.50%;0.07%;0.21%;0.08%;19.97%;100.00%;150;6.469385712;4.744465544;98.3012839;32.51986623;9.474823399;700.667389
56.54%;4.91%;20.30%;1.68%;1.36%;0.71%;0.23%;0.34%;0.15%;13.79%;100.00%;150;6.227448017;3.647994598;91.88730626;35.90738234;12.45617421;949.9778068
55.77%;1.61%;12.70%;2.91%;0.67%;0.47%;0.23%;0.16%;0.13%;25.36%;100.00%;150;5.605366623;0.925925267;51.15041635;35.41553202;10.57989026;869.0903914
55.90%;2.90%;20.53%;2.86%;1.38%;0.56%;0.22%;0.42%;0.06%;15.18%;100.00%;150;4.928832181;1.454837065;80.60170145;35.50061104;11.61490423;743.4807061
62.85%;4.95%;14.18%;1.39%;0.73%;0.77%;0.13%;0.10%;0.08%;14.83%;100.00%;150;6.464347759;4.44509369;75.97032418;39.91616155;9.255928354;869.2009768
54.30%;7.94%;22.15%;2.90%;0.79%;0.85%;0.03%;0.22%;0.02%;10.79%;100.00%;150;6.806861347;7.593273981;121.1202998;34.4822898;7.940982412;694.5398514
51.46%;3.78%;16.13%;2.67%;1.48%;0.74%;0.02%;0.30%;0.06%;23.36%;100.00%;150;6.047818187;2.291491198;75.96772224;32.68251797;7.771541046;844.7468343
51.43%;2.17%;21.06%;0.82%;0.86%;0.34%;0.28%;0.50%;0.14%;22.39%;100.00%;150;5.857023316;1.299182555;70.96977198;32.6630311;9.348304494;771.6070428
60.98%;6.22%;21.06%;2.94%;1.19%;0.27%;0.03%;0.16%;0.04%;7.12%;100.00%;150;4.261207862;5.269816983;106.3127725;38.72655045;10.42661188;704.3307918
56.54%;6.45%;14.76%;2.82%;0.55%;0.82%;0.19%;0.06%;0.08%;17.74%;100.00%;150;6.056444842;6.285747978;94.32089708;35.90523606;11.91349628;729.0181811
62.33%;5.23%;18.40%;1.15%;0.55%;0.72%;0.13%;0.54%;0.12%;10.83%;100.00%;150;6.502337854;4.970652197;89.51187459;39.58627404;9.765462827;994.4952455
